agent_id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,state,energy_current,energy_consumption,energy_harvesting,assigned_tasks,completed_tasks,distance_traveled,communications
0,10.0,15.0,5.0,-0.9981184833112261,0.06131470682061136,0.0,moving,0.95,2.1599999999999993,5.0,0,0,0.15999999999998732,10
1,-33.75789279380605,10.222704862214028,3.918175141442103,-0.35081814602375383,-0.9364436066418821,0.0,moving,0.884176286484399,0.1600000000000122,5.0,1,0,0.15199999999999403,0
2,-34.8010775220748,-14.846428278134129,3.941740947658409,1.0637231301374146,-1.0575883426034256,0.0,moving,0.9525801152322076,0.23999999999998978,5.0,0,0,0.21599999999999092,0
3,-23.18999240017534,33.06196995682186,2.8057630800010958,0.022752351266115793,-0.9997411317495462,0.0,moving,0.8043958307130058,0.1599999999999925,5.0,0,0,0.1680000000000042,0
4,28.554524006078232,37.62987154885714,9.671125704547713,-0.3611640939791108,-0.9325022773271108,0.0,moving,0.9859668885582751,0.15999999999998388,5.0,0,0,0.17599999999999352,0
5,41.20120429195119,-10.720497730160963,5.5839526246641356,0.9862281780246063,-0.16539038929232067,0.0,moving,0.751873685199559,2.1600000000000033,5.0,0,0,0.14400000000000285,10
6,-4.448618416453669,10.225996525085954,5.225043605826842,0.8119056255399439,-1.2612728710380607,0.0,moving,0.7172208703425231,0.24000000000000019,5.0,1,0,0.14400000000000066,0
7,49.360850486179004,14.97934750319498,9.903362733557088,0.6165431889441441,-0.7873210883537831,0.0,moving,0.8950624336322797,2.1599999999999846,5.0,0,0,0.03199999999999692,10
8,2.411926334626657,24.980738311034706,4.0406080545269765,0.6661132716325447,1.3439840435641295,0.0,moving,0.9463770863726909,0.23999999999999033,5.0,1,0,0.17599999999999563,0
9,-21.024970506063948,-39.059908309315965,3.26805642953207,0.9998592864170145,0.01677520091261092,0.0,moving,0.8055120232638866,2.160000000000015,5.0,0,0,0.04800000000000447,10
10,-49.27497074296339,-27.889828315315295,6.020090367384377,0.7339362001504762,0.6792184141413424,0.0,moving,0.8054880417701249,0.1600000000000125,5.0,0,0,0.1520000000000059,0
11,38.88346486003542,9.670930548931503,7.894829377470133,0.047727306018304626,0.9988604027892162,0.0,moving,0.8328433035863259,2.1599999999999953,5.0,0,0,0.1440000000000001,10
12,33.41777127159556,-7.586466121044927,7.153253772473129,-0.06181940499415851,-0.9980873514708861,0.0,moving,0.7649776630226831,2.1600000000000006,5.0,0,0,0.11999999999999478,10
13,17.19108435003706,-43.930067708089794,9.219170487661575,0.7262849778550361,0.6873937233799198,0.0,moving,0.8416176799040294,0.15999999999999176,5.0,0,0,0.17599999999999388,0
14,42.8065404071915,-11.077165077759199,5.200152868083206,-0.7030356138950323,0.711154642532294,0.0,moving,0.7155673694335125,2.1599999999999975,5.0,0,0,0.1439999999999976,10
15,4.044022292952707,46.22931899981791,0.2730501756181425,0.3795529349186615,1.4511855737963462,0.0,moving,0.9651475935733701,2.2399999999999767,5.0,0,0,0.18399999999999142,10
16,45.24693226643252,-23.773771381834557,8.985335487293757,0.9258276094520166,-1.1801877975883177,0.0,moving,0.721613622540395,2.240000000000014,5.0,0,0,0.1600000000000196,10
17,31.420895081847334,19.352688318401853,1.4867504612571592,-0.7075680463941166,-0.7066452148865179,0.0,moving,0.890357092127049,2.160000000000003,5.0,0,0,0.20000000000000048,10
18,-0.5144598928252019,49.85632494576786,4.024682040206223,-1.4761169769417972,0.2666058333649319,0.0,moving,0.9202864179214151,2.2400000000000055,5.0,0,0,0.1920000000000048,10
19,1.3253779278517035,-19.12121144417112,0.8042210710519737,0.94709839792929,-0.3209433355590551,0.0,moving,0.9241726709086271,0.16000000000000286,5.0,0,0,0.1920000000000068,0
